Date,"EUR/USD(Open, Ask)*","EUR/USD(High, Ask)*","EUR/USD(Low, Ask)*","EUR/USD(Close, Ask)*","HISTORICAL SSI(EUR/USD, SSI).SSI"
24/2/2016,1.10219,1.10473,1.09580,1.10144,-1.1529
23/2/2016,1.10308,1.10536,1.09907,1.10219,-1.1035
22/2/2016,1.11147,1.11259,1.10038,1.10308,-1.0572
19/2/2016,1.11087,1.11401,1.10674,1.11331,-1.4268
18/2/2016,1.11302,1.11504,1.10717,1.11087,-1.2888
17/2/2016,1.11444,1.11800,1.11061,1.11302,-1.3996
16/2/2016,1.11563,1.11937,1.11249,1.11444,-1.3910
15/2/2016,1.12415,1.12554,1.11286,1.11563,-1.4135
12/2/2016,1.13254,1.13348,1.12148,1.12606,-1.6286
11/2/2016,1.12959,1.13774,1.12747,1.13254,-1.8701
10/2/2016,1.12941,1.13122,1.11614,1.12959,-2.0239
9/2/2016,1.11965,1.13388,1.11629,1.12941,-1.9122
8/2/2016,1.11455,1.12167,1.10871,1.11965,-1.8037
5/2/2016,1.12104,1.12525,1.11095,1.11646,-1.7687
4/2/2016,1.11102,1.12397,1.10703,1.12104,-2.1406
3/2/2016,1.09210,1.11464,1.09044,1.11102,-2.1254
2/2/2016,1.08886,1.09405,1.08863,1.09210,-1.6632
1/2/2016,1.08348,1.09135,1.08155,1.08886,-1.5025
29/1/2016,1.09421,1.09495,1.08106,1.08335,1.1097
28/1/2016,1.08934,1.09684,1.08704,1.09421,-1.6199
27/1/2016,1.08722,1.09172,1.08515,1.08934,-1.3355
26/1/2016,1.08504,1.08752,1.08194,1.08722,-1.2820
25/1/2016,1.07956,1.08604,1.07901,1.08504,-1.2228
22/1/2016,1.08748,1.08774,1.07897,1.08054,1.0371
21/1/2016,1.08951,1.09228,1.07785,1.08748,-1.4399
20/1/2016,1.09082,1.09767,1.08781,1.08951,-1.2637
19/1/2016,1.08953,1.09398,1.08602,1.09082,-1.4215
18/1/2016,1.09300,1.09308,1.08696,1.08953,-1.3179
15/1/2016,1.08662,1.09853,1.08551,1.09194,-1.4736
14/1/2016,1.08788,1.09440,1.08354,1.08662,-1.2126
13/1/2016,1.08603,1.08886,1.08056,1.08788,-1.2754
12/1/2016,1.08597,1.09009,1.08201,1.08603,-1.1849
11/1/2016,1.09238,1.09711,1.08485,1.08597,-1.1685
8/1/2016,1.09352,1.09364,1.08039,1.09319,-1.4348
7/1/2016,1.07833,1.09405,1.07717,1.09352,-1.5113
6/1/2016,1.07492,1.08002,1.07168,1.07833,-1.1358
5/1/2016,1.08350,1.08397,1.07114,1.07492,1.0868
4/1/2016,1.08754,1.09471,1.07819,1.08350,-1.1104
31/12/2015,1.09332,1.09379,1.08536,1.08682,-1.1838
30/12/2015,1.09211,1.09446,1.09028,1.09332,-1.4428
29/12/2015,1.09704,1.09924,1.08996,1.09211,-1.4503
28/12/2015,1.09560,1.09931,1.09560,1.09704,-1.6613
24/12/2015,1.09122,1.09683,1.09051,1.09560,-1.4686
23/12/2015,1.09579,1.09583,1.08705,1.09122,-1.3459
22/12/2015,1.09164,1.09849,1.09031,1.09579,-1.5779
21/12/2015,1.08609,1.09399,1.08489,1.09164,-1.4061
18/12/2015,1.08270,1.08754,1.08055,1.08721,-1.2858
17/12/2015,1.09146,1.09168,1.08033,1.08270,-1.0195
16/12/2015,1.09355,1.10130,1.08887,1.09146,-1.2626
15/12/2015,1.09931,1.10604,1.09052,1.09355,-1.1811
14/12/2015,1.09873,1.10494,1.09462,1.09931,-1.4849
11/12/2015,1.09423,1.10316,1.09272,1.09971,-1.5038
10/12/2015,1.10264,1.10282,1.09258,1.09423,-1.3919
9/12/2015,1.08934,1.10436,1.08799,1.10264,-1.6899
8/12/2015,1.08385,1.09036,1.08310,1.08934,-1.4047
7/12/2015,1.08799,1.08882,1.07967,1.08385,-1.1944
4/12/2015,1.09422,1.09571,1.08370,1.08822,-1.3500
3/12/2015,1.06169,1.09816,1.05261,1.09422,-1.6851
2/12/2015,1.06340,1.06385,1.05513,1.06169,1.0944
1/12/2015,1.05664,1.06378,1.05640,1.06340,1.0165
30/11/2015,1.05923,1.05958,1.05585,1.05664,1.4081
27/11/2015,1.06124,1.06388,1.05691,1.06014,1.3458
26/11/2015,1.06260,1.06283,1.06007,1.06124,1.3577
25/11/2015,1.06442,1.06901,1.05667,1.06260,1.2707
24/11/2015,1.06377,1.06742,1.06204,1.06442,1.2469
23/11/2015,1.06415,1.06577,1.05933,1.06377,1.3119
20/11/2015,1.07362,1.07395,1.06409,1.06547,1.4210
19/11/2015,1.06613,1.07636,1.06563,1.07362,-1.0167
18/11/2015,1.06437,1.06933,1.06175,1.06613,1.1812
17/11/2015,1.06881,1.06915,1.06312,1.06437,1.2864
16/11/2015,1.07424,1.07590,1.06752,1.06881,1.3033
13/11/2015,1.08162,1.08182,1.07149,1.07761,1.2807
12/11/2015,1.07483,1.08317,1.06919,1.08162,1.0862
11/11/2015,1.07257,1.07745,1.07062,1.07483,1.2277
10/11/2015,1.07525,1.07647,1.06750,1.07257,1.3079
9/11/2015,1.07338,1.07907,1.07202,1.07525,1.2804
6/11/2015,1.08854,1.08946,1.07064,1.07472,1.5297
5/11/2015,1.08683,1.08985,1.08343,1.08854,1.3992
4/11/2015,1.09696,1.09696,1.08448,1.08683,1.5016
3/11/2015,1.10203,1.10307,1.09365,1.09696,1.2514
2/11/2015,1.10375,1.10535,1.10011,1.10203,-1.0700
30/10/2015,1.09812,1.10733,1.09663,1.10138,-1.0441
29/10/2015,1.09258,1.09871,1.09030,1.09812,-1.0284
28/10/2015,1.10516,1.10965,1.08976,1.09258,1.1301
27/10/2015,1.10593,1.10795,1.10310,1.10516,1.0784
26/10/2015,1.10052,1.10690,1.10043,1.10593,1.0360
23/10/2015,1.11097,1.11405,1.09973,1.10245,1.2292
22/10/2015,1.13404,1.13520,1.11008,1.11097,1.1420
21/10/2015,1.13469,1.13783,1.13347,1.13404,-1.5241
20/10/2015,1.13292,1.13878,1.13248,1.13469,-1.5437
19/10/2015,1.13650,1.13797,1.13064,1.13292,-1.5712
16/10/2015,1.13953,1.14009,1.13351,1.13503,-1.7657
15/10/2015,1.14753,1.14960,1.13639,1.13953,-1.7286
14/10/2015,1.13803,1.14898,1.13787,1.14753,-2.1541
13/10/2015,1.13594,1.14117,1.13450,1.13803,-1.9189
12/10/2015,1.13685,1.13976,1.13551,1.13594,-1.7999
9/10/2015,1.12796,1.13877,1.12679,1.13656,-1.7803
8/10/2015,1.12390,1.13285,1.12354,1.12796,-1.4015
7/10/2015,1.12757,1.12854,1.12122,1.12390,-1.2770
6/10/2015,1.11921,1.12803,1.11729,1.12757,-1.5828
5/10/2015,1.12220,1.12901,1.11741,1.11921,-1.0892
2/10/2015,1.11969,1.13194,1.11510,1.12159,-1.2928
1/10/2015,1.11779,1.12097,1.11358,1.11969,-1.2452
30/9/2015,1.12527,1.12621,1.11579,1.11779,-1.1429
29/9/2015,1.12459,1.12821,1.11946,1.12527,-1.5100
28/9/2015,1.11933,1.12486,1.11470,1.12459,-1.7295
25/9/2015,1.12313,1.12358,1.11170,1.12038,-1.5133
24/9/2015,1.11866,1.12966,1.11651,1.12313,-1.4782
23/9/2015,1.11219,1.12143,1.11060,1.11866,-1.2419
22/9/2015,1.11907,1.12086,1.11141,1.11219,-1.0687
21/9/2015,1.12860,1.13309,1.11818,1.11907,-1.1981
18/9/2015,1.14361,1.14611,1.12704,1.13078,-1.4054
17/9/2015,1.12977,1.14421,1.12851,1.14361,-1.7821
16/9/2015,1.12711,1.13214,1.12146,1.12977,-1.4394
15/9/2015,1.13181,1.13297,1.12592,1.12711,-1.3801
14/9/2015,1.13346,1.13740,1.12841,1.13181,-1.7850
11/9/2015,1.12812,1.13503,1.12549,1.13406,-2.0106
10/9/2015,1.12083,1.12962,1.11723,1.12812,-1.7967
9/9/2015,1.12037,1.12171,1.11324,1.12083,-1.5471
8/9/2015,1.11713,1.12303,1.11531,1.12037,-1.5147
7/9/2015,1.11653,1.11784,1.11223,1.11713,-1.4731
4/9/2015,1.11240,1.11919,1.10894,1.11516,-1.4042
3/9/2015,1.12288,1.12442,1.10879,1.11240,-1.2933
2/9/2015,1.13176,1.13205,1.12173,1.12288,-1.4300
1/9/2015,1.12124,1.13329,1.12091,1.13176,-1.5399
31/8/2015,1.11791,1.12634,1.11718,1.12124,-1.5361
28/8/2015,1.12479,1.13105,1.11565,1.11896,-1.5312
27/8/2015,1.13162,1.13652,1.12036,1.12479,-1.6302
26/8/2015,1.15182,1.15623,1.12927,1.13162,-1.7434
25/8/2015,1.16217,1.16233,1.13969,1.15182,-2.0286
24/8/2015,1.13816,1.17194,1.13706,1.16217,-2.3929
21/8/2015,1.12451,1.13950,1.12302,1.13943,-3.2027
20/8/2015,1.11248,1.12455,1.11079,1.12451,-2.5065
19/8/2015,1.10267,1.11351,1.10184,1.11248,-1.9116
18/8/2015,1.10824,1.10945,1.10178,1.10267,-1.5241
