Date,"Open, Ask","High, Ask","Low, Ask","Close, Ask","Open, Bid","High, Bid","Low, Bid","Close, Bid",SSI
15/04/2016 00:00:00,0.76987,0.77355,0.76817,0.77320,0.76922,0.77338,0.76799,0.77206,-1.7310
14/04/2016 00:00:00,0.76550,0.77379,0.76201,0.76987,0.76515,0.77362,0.76184,0.76922,-1.7310
13/04/2016 00:00:00,0.76887,0.77172,0.76351,0.76550,0.76797,0.77153,0.76333,0.76515,-1.3273
12/04/2016 00:00:00,0.76009,0.76907,0.75843,0.76887,0.75917,0.76891,0.75825,0.76797,-1.5656
11/04/2016 00:00:00,0.75516,0.76311,0.75290,0.76009,0.75412,0.76291,0.75273,0.75917,-1.2718
08/04/2016 00:00:00,0.75067,0.75804,0.75014,0.75572,0.75025,0.75787,0.74993,0.75462,-1.1874
07/04/2016 00:00:00,0.76011,0.76385,0.74927,0.75067,0.75977,0.76366,0.74909,0.75025,1.0290
06/04/2016 00:00:00,0.75476,0.76205,0.75339,0.76011,0.75401,0.76186,0.75319,0.75977,-1.2069
05/04/2016 00:00:00,0.76107,0.76336,0.75109,0.75476,0.76013,0.76302,0.75094,0.75401,-1.0921
04/04/2016 00:00:00,0.76730,0.76812,0.75995,0.76107,0.76680,0.76777,0.75976,0.76013,-1.1931
01/04/2016 00:00:00,0.76591,0.77020,0.75999,0.76859,0.76554,0.77000,0.75981,0.76719,-1.4630
31/03/2016 00:00:00,0.76730,0.77239,0.76355,0.76591,0.76697,0.77221,0.76334,0.76554,-1.3871
30/03/2016 00:00:00,0.76296,0.77098,0.76160,0.76730,0.76261,0.77082,0.76143,0.76697,-1.4521
29/03/2016 00:00:00,0.75461,0.76464,0.75111,0.76296,0.75428,0.76446,0.75094,0.76261,-1.5083
28/03/2016 00:00:00,0.75190,0.75589,0.74943,0.75461,0.75091,0.75572,0.74923,0.75428,-1.3204
25/03/2016 00:00:00,0.75329,0.75367,0.75014,0.75142,0.75244,0.75344,0.74972,0.75006,-1.2766
24/03/2016 00:00:00,0.75334,0.75387,0.74783,0.75329,0.75301,0.75364,0.74764,0.75244,-1.3001
23/03/2016 00:00:00,0.76237,0.76503,0.75206,0.75334,0.76199,0.76486,0.75188,0.75301,-1.2110
22/03/2016 00:00:00,0.75798,0.76440,0.75521,0.76237,0.75768,0.76420,0.75504,0.76199,-1.4522
21/03/2016 00:00:00,0.76013,0.76276,0.75697,0.75798,0.75897,0.76258,0.75678,0.75768,-1.3853
18/03/2016 00:00:00,0.76528,0.76816,0.75963,0.76095,0.76424,0.76795,0.75944,0.75952,-1.4529
17/03/2016 00:00:00,0.75557,0.76580,0.75347,0.76528,0.75480,0.76560,0.75324,0.76424,-1.6218
16/03/2016 00:00:00,0.74600,0.75621,0.74156,0.75557,0.74551,0.75601,0.74138,0.75480,-1.7394
15/03/2016 00:00:00,0.75176,0.75293,0.74460,0.74600,0.75104,0.75272,0.74442,0.74551,-1.2960
14/03/2016 00:00:00,0.75483,0.75947,0.74929,0.75176,0.75409,0.75929,0.74912,0.75104,-1.3804
11/03/2016 00:00:00,0.74565,0.75845,0.74476,0.75682,0.74531,0.75827,0.74457,0.75568,-1.7218
10/03/2016 00:00:00,0.74867,0.75133,0.74280,0.74565,0.74830,0.75114,0.74261,0.74531,-1.5484
09/03/2016 00:00:00,0.74407,0.75291,0.74130,0.74867,0.74375,0.75275,0.74113,0.74830,-2.1696
08/03/2016 00:00:00,0.74706,0.74743,0.74110,0.74407,0.74669,0.74715,0.74093,0.74375,-1.9341
07/03/2016 00:00:00,0.74080,0.74856,0.73935,0.74706,0.73979,0.74853,0.73916,0.74669,-2.0095
04/03/2016 00:00:00,0.73538,0.74448,0.73408,0.74408,0.73508,0.74424,0.73390,0.74278,-2.0707
03/03/2016 00:00:00,0.72966,0.73750,0.72825,0.73538,0.72929,0.73732,0.72806,0.73508,-1.8437
02/03/2016 00:00:00,0.71772,0.73022,0.71663,0.72966,0.71738,0.73003,0.71606,0.72929,-1.9986
01/03/2016 00:00:00,0.71431,0.71934,0.71102,0.71772,0.71395,0.71914,0.71085,0.71738,-1.1900
29/02/2016 00:00:00,0.71249,0.71695,0.71095,0.71431,0.71221,0.71674,0.71077,0.71395,1.0609
26/02/2016 00:00:00,0.72391,0.72575,0.71192,0.71328,0.72344,0.72556,0.71173,0.71212,1.0704
25/02/2016 00:00:00,0.71981,0.72445,0.71576,0.72391,0.71933,0.72427,0.71556,0.72344,-1.3950
24/02/2016 00:00:00,0.72044,0.72146,0.71468,0.71981,0.72011,0.72127,0.71450,0.71933,-1.1807
23/02/2016 00:00:00,0.72296,0.72603,0.72013,0.72044,0.72262,0.72583,0.71994,0.72011,-1.2674
22/02/2016 00:00:00,0.71577,0.72478,0.71368,0.72296,0.71540,0.72460,0.71348,0.72262,-1.4953
19/02/2016 00:00:00,0.71582,0.71637,0.70700,0.71558,0.71550,0.71608,0.70683,0.71442,-1.3892
18/02/2016 00:00:00,0.71852,0.71867,0.71338,0.71582,0.71817,0.71832,0.71321,0.71550,-1.1279
17/02/2016 00:00:00,0.71128,0.71877,0.70853,0.71852,0.71089,0.71860,0.70834,0.71817,-1.3815
16/02/2016 00:00:00,0.71425,0.71831,0.70825,0.71128,0.71338,0.71811,0.70807,0.71089,1.1011
15/02/2016 00:00:00,0.71123,0.71726,0.71033,0.71425,0.71007,0.71707,0.70998,0.71338,-1.0086
12/02/2016 00:00:00,0.71101,0.71299,0.70645,0.71108,0.71068,0.71275,0.70627,0.70982,1.0319
11/02/2016 00:00:00,0.70971,0.71545,0.69850,0.71101,0.70938,0.71526,0.69831,0.71068,-1.0122
10/02/2016 00:00:00,0.70722,0.71263,0.70387,0.70971,0.70690,0.71245,0.70370,0.70938,-1.0487
09/02/2016 00:00:00,0.70898,0.70969,0.69743,0.70722,0.70847,0.70951,0.69727,0.70690,1.0710
08/02/2016 00:00:00,0.70776,0.71295,0.70517,0.70898,0.70664,0.71278,0.70498,0.70847,1.0853
05/02/2016 00:00:00,0.72027,0.72219,0.70655,0.70687,0.71993,0.72172,0.70573,0.70573,1.4457
04/02/2016 00:00:00,0.71702,0.72437,0.71545,0.72027,0.71669,0.72421,0.71528,0.71993,-1.1928
03/02/2016 00:00:00,0.70402,0.71904,0.70036,0.71702,0.70366,0.71887,0.70020,0.71669,-1.2599
02/02/2016 00:00:00,0.71166,0.71307,0.70358,0.70402,0.71074,0.71286,0.70335,0.70366,1.2335
01/02/2016 00:00:00,0.70876,0.71219,0.70437,0.71166,0.70794,0.71201,0.70418,0.71074,-1.0887
29/01/2016 00:00:00,0.70856,0.71421,0.70597,0.70859,0.70822,0.71403,0.70578,0.70818,1.0065
28/01/2016 00:00:00,0.70284,0.71298,0.70092,0.70856,0.70250,0.71277,0.70073,0.70822,-1.0200
27/01/2016 00:00:00,0.70072,0.70827,0.69938,0.70284,0.70038,0.70810,0.69900,0.70250,1.1777
